OutfitId,OutfitSet,OutfitUrl
18017148,"['橘色outerwear', '橙色top', '灰色top', '黑色pants']",https://wear.tw/genji/18017148/
18016988,"['藍色outerwear', '白色top', '白色top', '黑色pants']",https://wear.tw/genji/18016988/
18002194,"['白色top', '白色top', '綠色pants']",https://wear.tw/genji/18002194/
18002168,"['黑色outerwear', '橙色top', '橘色outerwear']",https://wear.tw/genji/18002168/
18002134,"['灰色outerwear', '白色top']",https://wear.tw/genji/18002134/
17981830,[],https://wear.tw/genji/17981830/
17980975,"['橙色outerwear', '白色top', '灰色top', '橙色pants']",https://wear.tw/genji/17980975/
17980932,"['綠色top', '白色top', '黑色outerwear']",https://wear.tw/genji/17980932/
17959322,"['橙色top', '灰色top', '橘色pants']",https://wear.tw/genji/17959322/
17959260,"['藍色outerwear', '黑色top']",https://wear.tw/genji/17959260/
17959090,"['橘色outerwear', '橘色top', '白色top']",https://wear.tw/genji/17959090/
17929968,"['橙色outerwear', '橘色top', '白色top', '橙色pants']",https://wear.tw/genji/17929968/
17924033,"['橘色outerwear', '橙色top', '白色top', '白色pants']",https://wear.tw/genji/17924033/
17923728,"['黑色outerwear', '橘色top']",https://wear.tw/genji/17923728/
17923635,"['黑色outerwear', '白色top', '白色top', '黑色pants']",https://wear.tw/genji/17923635/
17902685,"['橙色top', '白色top', '白色pants']",https://wear.tw/genji/17902685/
17902226,"['橘色top', '灰色top', '白色top', '黑色pants']",https://wear.tw/genji/17902226/
17902120,"['橘色outerwear', '橘色top', '白色top', '橙色pants']",https://wear.tw/genji/17902120/
17901844,"['黑色outerwear', '橙色top', '白色top', '白色pants']",https://wear.tw/genji/17901844/
17873846,"['橙色outerwear', '橙色top', '灰色top', '橘色pants']",https://wear.tw/genji/17873846/
17873732,"['白色top', '橘色outerwear']",https://wear.tw/genji/17873732/
17873449,"['白色top', '藍色outerwear']",https://wear.tw/genji/17873449/
17858464,"['綠色top', '白色top', '綠色pants']",https://wear.tw/genji/17858464/
